"","komitet","procent"
"1","Liczba wyborców",87
"2","Liczba kart oddanych",13
"3","Liczba głosów ważnych",12
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",0
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",8.33
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",50
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",33.33
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",8.33
