"","komitet","procent"
"1","Liczba wyborców",359
"2","Liczba kart oddanych",177
"3","Liczba głosów ważnych",151
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.92
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",73.51
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.32
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",1.32
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",9.93
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.66
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.66
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.66
